question,base_question,api
kiểm tra danh sách sổ gửi tiết kiệm nha,Xem danh sách sổ tiết kiệm,getAllSavings
Cho tôi Lãi suất gửi tiết kiệm hiện tại,Lãi suất tiết kiệm hiện tại,getAllSavings
Vui lòng em có bao nhiêu sổ tiết kiệm được không?,Tôi có bao nhiêu sổ tiết kiệm,getAllSavings
Tôi muốn Cho mình Kiểm tra tiết kiệm của em,Kiểm tra tiết kiệm của tôi,getAllSavings
Cho mình cho biết danh sách sổ tiết kiệm,Xem danh sách sổ tiết kiệm,getAllSavings
Cho em Tiền gửi tiết kiệm được không,Tiền gửi tiết kiệm,getAllSavings
mình có bao nhiêu sổ saving với,Tôi có bao nhiêu sổ tiết kiệm,getAllSavings
Tổng tiền gửi saving?,Tổng tiền tiết kiệm,getAllSavings
cần Xem danh sách sổ tiết kiệm,Xem danh sách sổ tiết kiệm,getAllSavings
Cho em Lãi suất tiết kiệm hiện tại với,Lãi suất tiết kiệm hiện tại,getAllSavings
muốn Làm ơn Tiền gửi tiết kiệm,Tiền gửi tiết kiệm,getAllSavings
Tôi cần Các sổ gửi tiết kiệm của tôi nhé,Các sổ tiết kiệm của tôi,getAllSavings
cần Lãi suất tiết kiệm hiện tại giúp với,Lãi suất tiết kiệm hiện tại,getAllSavings
Kỳ hạn saving của tôi nhé,Kỳ hạn tiết kiệm của tôi,getAllSavings
Được không nếu Tổng tiền tiết kiệm được không?,Tổng tiền tiết kiệm,getAllSavings
Sổ tiết kiệm sắp đáo hạn được không được không?,Sổ tiết kiệm sắp đáo hạn,getAllSavings
Mình muốn Được không nếu tui có bao nhiêu sổ tiết kiệm,Tôi có bao nhiêu sổ tiết kiệm,getAllSavings
Giúp em em có bao nhiêu sổ tiết kiệm với,Tôi có bao nhiêu sổ tiết kiệm,getAllSavings
Tôi có được bao nhiêu sổ gửi tiết kiệm nha,Tôi có bao nhiêu sổ tiết kiệm,getAllSavings
Mình muốn Xem danh sách sổ tiết kiệm nha,Xem danh sách sổ tiết kiệm,getAllSavings
Xem saving của tôi nhé nhé,Xem saving của tôi,getAllSavings
Cho mình Kỳ hạn tiết kiệm của tui,Kỳ hạn tiết kiệm của tôi,getAllSavings
Giúp Cho mình có bao nhiêu sổ tiết kiệm,Tôi có bao nhiêu sổ tiết kiệm,getAllSavings
Được không nếu Tổng tiền gửi tiết kiệm nhé,Tổng tiền tiết kiệm,getAllSavings
Có thể Có thể Kỳ hạn tiết kiệm của tôi,Kỳ hạn tiết kiệm của tôi,getAllSavings
Có thể Tổng tiền gửi tiết kiệm nha,Tổng tiền tiết kiệm,getAllSavings
Có thể Có thể Các sổ tiết kiệm của em,Các sổ tiết kiệm của tôi,getAllSavings
Mình muốn Kiểm tra gửi tiết kiệm của tôi,Kiểm tra tiết kiệm của tôi,getAllSavings
Tổng tiền gửi tiết kiệm ạ được không,Tổng tiền tiết kiệm,getAllSavings
Vui lòng Các sổ tiết kiệm của tôi,Các sổ tiết kiệm của tôi,getAllSavings
Mình muốn Cho mình Tổng tiền tiết kiệm,Tổng tiền tiết kiệm,getAllSavings
Tôi có bao nhiêu sổ tiết kiệm nha nha,Tôi có bao nhiêu sổ tiết kiệm,getAllSavings
Tổng tiền saving nha được không,Tổng tiền tiết kiệm,getAllSavings
Làm ơn Các sổ tiết kiệm của mình giúp với,Các sổ tiết kiệm của tôi,getAllSavings
Mình muốn Cho mình Các sổ tiết kiệm của tui,Các sổ tiết kiệm của tôi,getAllSavings
Giúp tôi Xem saving của tôi giúp với,Xem saving của tôi,getAllSavings
Có thể Có thể Tiền gửi tiết kiệm,Tiền gửi tiết kiệm,getAllSavings
Mình muốn Có thể em có bao nhiêu sổ tiết kiệm,Tôi có bao nhiêu sổ tiết kiệm,getAllSavings
Được không nếu Xem saving của tui được không?,Xem saving của tôi,getAllSavings
Cho mình Được không nếu Xem saving của,Xem saving của tôi,getAllSavings
Lãi suất saving hiện tại với nhé,Lãi suất tiết kiệm hiện tại,getAllSavings
mình có được bao nhiêu sổ tiết kiệm,Tôi có bao nhiêu sổ tiết kiệm,getAllSavings
Tiền gửi saving,Tiền gửi tiết kiệm,getAllSavings
Lãi suất tiết kiệm hiện tại giúp với?,Lãi suất tiết kiệm hiện tại,getAllSavings
Cho em Tổng tiền tiết kiệm với,Tổng tiền tiết kiệm,getAllSavings
Được không nếu Lãi suất tiết kiệm hiện tại,Lãi suất tiết kiệm hiện tại,getAllSavings
Vui lòng Các sổ tiết kiệm của được không?,Các sổ tiết kiệm của tôi,getAllSavings
mình muốn Kỳ hạn saving của mình,Kỳ hạn tiết kiệm của tôi,getAllSavings
Cho mình Có thể mình có bao nhiêu sổ tiết kiệm,Tôi có bao nhiêu sổ tiết kiệm,getAllSavings
Tiền gửi saving giùm?,Tiền gửi tiết kiệm,getAllSavings
Được không nếu Làm ơn Kỳ hạn tiết kiệm của,Kỳ hạn tiết kiệm của tôi,getAllSavings
Xem danh sách sổ tiết kiệm giúp với được không,Xem danh sách sổ tiết kiệm,getAllSavings
Cho tôi Làm ơn Xem saving của tôi,Xem saving của tôi,getAllSavings
muốn Kỳ hạn tiết kiệm của em,Kỳ hạn tiết kiệm của tôi,getAllSavings
Làm ơn Tôi có bao nhiêu sổ tiết kiệm,Tôi có bao nhiêu sổ tiết kiệm,getAllSavings
Mình muốn Các sổ saving của tôi ạ,Các sổ tiết kiệm của tôi,getAllSavings
Vui lòng Tôi có bao nhiêu sổ gửi tiết kiệm với,Tôi có bao nhiêu sổ tiết kiệm,getAllSavings
Cho mình Kiểm tra tiết kiệm của tôi,Kiểm tra tiết kiệm của tôi,getAllSavings
Tôi muốn Các sổ tiết kiệm của tôi,Các sổ tiết kiệm của tôi,getAllSavings
Giúp tôi Tôi có bao nhiêu sổ tiết kiệm với,Tôi có bao nhiêu sổ tiết kiệm,getAllSavings
Tôi cần Kiểm tra tiết kiệm của em được không?,Kiểm tra tiết kiệm của tôi,getAllSavings
Tôi muốn Các sổ tiết kiệm của mình giùm,Các sổ tiết kiệm của tôi,getAllSavings
Cho em Lãi suất gửi tiết kiệm hiện tại,Lãi suất tiết kiệm hiện tại,getAllSavings
Mình muốn Xem danh sách sổ gửi tiết kiệm được không?,Xem danh sách sổ tiết kiệm,getAllSavings
Tôi có bao nhiêu sổ tiết kiệm nhé,Tôi có bao nhiêu sổ tiết kiệm,getAllSavings
Kiểm tra tiết kiệm của tôi giùm?,Kiểm tra tiết kiệm của tôi,getAllSavings
Vui lòng Xem saving của em giùm,Xem saving của tôi,getAllSavings
Các sổ gửi saving của tôi ạ,Các sổ tiết kiệm của tôi,getAllSavings
Có thể mình có bao nhiêu sổ gửi tiết kiệm,Tôi có bao nhiêu sổ tiết kiệm,getAllSavings
Tôi có bao nhiêu sổ saving ạ nha,Tôi có bao nhiêu sổ tiết kiệm,getAllSavings
Các sổ saving của nha,Các sổ tiết kiệm của tôi,getAllSavings
Tôi có bao nhiêu sổ tiết kiệm ạ,Tôi có bao nhiêu sổ tiết kiệm,getAllSavings
em muốn Lãi suất tiết kiệm hiện tại với,Lãi suất tiết kiệm hiện tại,getAllSavings
Kỳ hạn tiết kiệm của mình nha,Kỳ hạn tiết kiệm của tôi,getAllSavings
Được không nếu Kiểm tra saving của tôi?,Kiểm tra tiết kiệm của tôi,getAllSavings
Tôi có được bao nhiêu sổ tiết kiệm nha nhé,Tôi có bao nhiêu sổ tiết kiệm,getAllSavings
Kiểm tra gửi tiết kiệm của tôi giúp với?,Kiểm tra tiết kiệm của tôi,getAllSavings
