question,base_question,api
Mình muốn Biến động số tiền gần đây nha,Biến động số dư gần đây,getTransactionHistory
cần Có thể Đã chi tiêu bao nhiêu,Đã chi tiêu bao nhiêu,getTransactionHistory
Làm ơn Tiền vào tiền ra tháng này,Tiền vào tiền ra tháng này,getTransactionHistory
Tôi cần Xem lịch sử giao dịch nha,Xem lịch sử giao dịch,getTransactionHistory
Giúp Xem lịch sử giao dịch giúp với,Xem lịch sử giao dịch,getTransactionHistory
muốn Làm ơn Xem lịch sử giao dịch,Xem lịch sử giao dịch,getTransactionHistory
tui muốn Làm ơn Xem lịch sử giao dịch,Xem lịch sử giao dịch,getTransactionHistory
Cho tui Có thể Lịch sử chuyển khoản,Lịch sử chuyển khoản,getTransactionHistory
Được không nếu Kiểm tra sao kê tài khoản nha,Kiểm tra sao kê tài khoản,getTransactionHistory
Đã chi tiêu được bao nhiêu nhé được không,Đã chi tiêu bao nhiêu,getTransactionHistory
Cho em Có thể Kiểm tra sao kê tài khoản,Kiểm tra sao kê tài khoản,getTransactionHistory
cần Cho mình Giao dịch gần đây của,Giao dịch gần đây của tôi,getTransactionHistory
Có thể Cho mình Giao dịch gần đây của tui,Giao dịch gần đây của tôi,getTransactionHistory
Vui lòng Xem lịch sử giao dịch,Xem lịch sử giao dịch,getTransactionHistory
Giúp tôi xem sao kê tài khoản,Kiểm tra sao kê tài khoản,getTransactionHistory
Tiền vào tiền ra tháng này nhé ạ,Tiền vào tiền ra tháng này,getTransactionHistory
Mình muốn Lịch sử chuyển khoản giùm,Lịch sử chuyển khoản,getTransactionHistory
Giúp Giao dịch gần đây,Giao dịch gần đây của tôi,getTransactionHistory
Được không nếu Cho mình Giao dịch gần đây của em,Giao dịch gần đây của tôi,getTransactionHistory
Kiểm tra sao kê tài khoản?,Kiểm tra sao kê tài khoản,getTransactionHistory
Đã chi tiêu là gì giùm ạ,Đã chi tiêu bao nhiêu,getTransactionHistory
Mình muốn Giao dịch gần đây của tui?,Giao dịch gần đây của tôi,getTransactionHistory
Cho tôi Có thể Đã chi tiêu bao nhiêu,Đã chi tiêu bao nhiêu,getTransactionHistory
Giúp tôi Giao dịch gần đây của em giùm,Giao dịch gần đây của tôi,getTransactionHistory
Lịch sử chuyển khoản ạ được không?,Lịch sử chuyển khoản,getTransactionHistory
Đã chi tiêu được bao nhiêu giúp với giúp với,Đã chi tiêu bao nhiêu,getTransactionHistory
Đã chi tiêu bao nhiêu nha nhé,Đã chi tiêu bao nhiêu,getTransactionHistory
Cho em Biến động tiền còn gần đây,Biến động số dư gần đây,getTransactionHistory
Làm ơn Cho mình Lịch sử chuyển khoản,Lịch sử chuyển khoản,getTransactionHistory
Giúp tôi Xem lịch sử giao dịch được không?,Xem lịch sử giao dịch,getTransactionHistory
Mình muốn Biến động tiền còn gần đây nha,Biến động số dư gần đây,getTransactionHistory
Xem lịch sử giao dịch giúp với,Xem lịch sử giao dịch,getTransactionHistory
Cho mình Giao dịch gần đây của tôi nha,Giao dịch gần đây của tôi,getTransactionHistory
Làm ơn Giao dịch gần đây của em nhé,Giao dịch gần đây của tôi,getTransactionHistory
Giúp tôi Mình muốn Đã chi tiêu bao nhiêu,Đã chi tiêu bao nhiêu,getTransactionHistory
em cần Tiền vào tiền ra tháng này,Tiền vào tiền ra tháng này,getTransactionHistory
Giúp tôi Giao dịch gần đây giúp với,Giao dịch gần đây của tôi,getTransactionHistory
Đã chi tiêu là gì giùm nha,Đã chi tiêu bao nhiêu,getTransactionHistory
Giao dịch gần đây của em?,Giao dịch gần đây của tôi,getTransactionHistory
em cần Cho mình Kiểm tra sao kê tài khoản,Kiểm tra sao kê tài khoản,getTransactionHistory
muốn Lịch sử chuyển khoản nha,Lịch sử chuyển khoản,getTransactionHistory
Cho tôi Tiền vào tiền ra tháng này?,Tiền vào tiền ra tháng này,getTransactionHistory
Tiền vào tiền ra tháng này được không giùm,Tiền vào tiền ra tháng này,getTransactionHistory
Cho em Lịch sử chuyển khoản ạ,Lịch sử chuyển khoản,getTransactionHistory
Tôi muốn Biến động số tiền gần đây được không,Biến động số dư gần đây,getTransactionHistory
Có thể Có thể Giao dịch gần đây của em,Giao dịch gần đây của tôi,getTransactionHistory
Có thể Đã chi tiêu là gì?,Đã chi tiêu bao nhiêu,getTransactionHistory
Cho mình Tiền vào tiền ra tháng này?,Tiền vào tiền ra tháng này,getTransactionHistory
Đã chi tiêu được bao nhiêu nha được không?,Đã chi tiêu bao nhiêu,getTransactionHistory
Giúp em Tiền vào tiền ra tháng này với,Tiền vào tiền ra tháng này,getTransactionHistory
Làm ơn Giao dịch gần đây của mình,Giao dịch gần đây của tôi,getTransactionHistory
Cho tôi Có thể Giao dịch gần đây của mình,Giao dịch gần đây của tôi,getTransactionHistory
