question,base_question,api
Vui lòng Được không nếu Địa chỉ,Địa chỉ của tôi,getUserProfile
Làm ơn Xem thông tin user giùm,Xem thông tin user,getUserProfile
Được không nếu Profile được không?,Profile của tôi,getUserProfile
Giúp Xem thông tin user?,Xem thông tin user,getUserProfile
Có thể Họ tên đăng ký của tui giùm,Họ tên đăng ký của tôi,getUserProfile
Làm ơn Địa chỉ của tôi được không,Địa chỉ của tôi,getUserProfile
Làm ơn Email đăng ký của em?,Email đăng ký của tôi,getUserProfile
Giúp Xem thông tin user nhé,Xem thông tin user,getUserProfile
Cho mình Cho mình Địa chỉ của mình,Địa chỉ của tôi,getUserProfile
Giúp Được không nếu Địa chỉ của,Địa chỉ của tôi,getUserProfile
Giúp tôi Được không nếu Hồ sơ người dùng,Hồ sơ người dùng của tôi,getUserProfile
Làm ơn Địa chỉ giùm,Địa chỉ của tôi,getUserProfile
Làm ơn Xem thông tin cá nhân của giúp với,Xem thông tin cá nhân của tôi,getUserProfile
Vui lòng Thông tin KYC của tôi,Thông tin KYC của tôi,getUserProfile
Được không nếu Làm ơn Thông tin KYC của em,Thông tin KYC của tôi,getUserProfile
Tôi cần Họ tên đăng ký nhé,Họ tên đăng ký của tôi,getUserProfile
Giúp tui Profile của tui ạ,Profile của tôi,getUserProfile
Tôi cần Email đăng ký của tôi,Email đăng ký của tôi,getUserProfile
Được không nếu Mình muốn Địa chỉ của,Địa chỉ của tôi,getUserProfile
Vui lòng Số điện thoại đăng ký được không,Số điện thoại đăng ký,getUserProfile
Giúp tôi Email đăng ký của mình nha,Email đăng ký của tôi,getUserProfile
Làm ơn Địa chỉ của tui với,Địa chỉ của tôi,getUserProfile
Cho tôi Xem thông tin cá nhân của tôi ạ,Xem thông tin cá nhân của tôi,getUserProfile
Cho em Email đăng ký của em,Email đăng ký của tôi,getUserProfile
Làm ơn Profile,Profile của tôi,getUserProfile
Vui lòng Họ tên đăng ký của tui ạ,Họ tên đăng ký của tôi,getUserProfile
Cho mình Xem thông tin cá nhân của tôi ạ,Xem thông tin cá nhân của tôi,getUserProfile
Tôi cần Profile của tôi nhé,Profile của tôi,getUserProfile
Profile của mình giúp với,Profile của tôi,getUserProfile
Địa chỉ của tôi giùm giúp với,Địa chỉ của tôi,getUserProfile
Có thể Profile của tôi giùm,Profile của tôi,getUserProfile
Giúp em Số điện thoại đăng ký,Số điện thoại đăng ký,getUserProfile
Làm ơn Email đăng ký của em giùm,Email đăng ký của tôi,getUserProfile
Thông tin KYC của tôi giúp với được không,Thông tin KYC của tôi,getUserProfile
Tôi cần Cho mình Họ tên đăng ký của em,Họ tên đăng ký của tôi,getUserProfile
Được không nếu Email đăng ký của em,Email đăng ký của tôi,getUserProfile
Thông tin KYC của tôi nha nha,Thông tin KYC của tôi,getUserProfile
Làm ơn Email đăng ký của ?,Email đăng ký của tôi,getUserProfile
Mình muốn Xem thông tin cá nhân của tôi được không,Xem thông tin cá nhân của tôi,getUserProfile
Tôi muốn Profile của tôi,Profile của tôi,getUserProfile
Có thể Hồ sơ người dùng của mình được không,Hồ sơ người dùng của tôi,getUserProfile
Địa chỉ của mình được không,Địa chỉ của tôi,getUserProfile
Giúp tôi Mình muốn Hồ sơ người dùng của mình,Hồ sơ người dùng của tôi,getUserProfile
Mình muốn Họ tên đăng ký của tôi?,Họ tên đăng ký của tôi,getUserProfile
Cho Email đăng ký của,Email đăng ký của tôi,getUserProfile
Vui lòng Cho mình Địa chỉ,Địa chỉ của tôi,getUserProfile
tui muốn Profile của,Profile của tôi,getUserProfile
Giúp Xem thông tin cá nhân của giúp với,Xem thông tin cá nhân của tôi,getUserProfile
Xem thông tin cá nhân của tôi giúp với?,Xem thông tin cá nhân của tôi,getUserProfile
Giúp tui Được không nếu Xem thông tin user,Xem thông tin user,getUserProfile
Mình muốn Profile nhé,Profile của tôi,getUserProfile
Thông tin KYC của tôi giúp với nha,Thông tin KYC của tôi,getUserProfile
Làm ơn Được không nếu Thông tin KYC của tôi,Thông tin KYC của tôi,getUserProfile
Cho mình Xem thông tin cá nhân của mình nha,Xem thông tin cá nhân của tôi,getUserProfile
Profile của giùm,Profile của tôi,getUserProfile
Cho tôi Thông tin KYC của tui,Thông tin KYC của tôi,getUserProfile
Vui lòng Mình muốn Email đăng ký của tui,Email đăng ký của tôi,getUserProfile
Làm ơn Địa chỉ của nhé,Địa chỉ của tôi,getUserProfile
Họ tên đăng ký của tôi nhé giúp với,Họ tên đăng ký của tôi,getUserProfile
Có thể Cho mình Hồ sơ người dùng,Hồ sơ người dùng của tôi,getUserProfile
Cho mình Profile của với,Profile của tôi,getUserProfile
