2025-12-19 16:04:00 | DEBUG    | log:153 | [list_documents] Fetching all documents...
2025-12-19 16:05:05 | DEBUG    | log:153 | [get_tables] Getting tables...
2025-12-19 16:05:05 | DEBUG    | log:153 | [get_tables] Returning cached tables
2025-12-19 16:25:35 | INFO     | log:151 | [list_documents] Found 15 documents
2025-12-19 16:25:35 | INFO     | log:151 | [list_documents] Found 15 documents
2025-12-19 16:31:32 | DEBUG    | log:153 | [index] Serving web UI
2025-12-19 16:31:32 | DEBUG    | log:153 | [list_documents] Fetching all documents...
2025-12-19 16:31:32 | DEBUG    | log:153 | [get_tables] Getting tables...
2025-12-19 16:31:32 | DEBUG    | log:153 | [get_tables] Returning cached tables
2025-12-19 16:31:32 | INFO     | log:151 | [list_documents] Found 15 documents
2025-12-19 16:31:33 | DEBUG    | log:153 | [index] Serving web UI
2025-12-19 16:31:33 | DEBUG    | log:153 | [list_documents] Fetching all documents...
2025-12-19 16:31:33 | DEBUG    | log:153 | [get_tables] Getting tables...
2025-12-19 16:31:33 | DEBUG    | log:153 | [get_tables] Returning cached tables
2025-12-19 16:31:33 | INFO     | log:151 | [list_documents] Found 15 documents
2025-12-19 16:31:53 | INFO     | log:151 | [config] Loaded config | DEBUG_MODE=3
2025-12-19 16:31:56 | INFO     | log:151 | [main] FastAPI app initialized (Per-Example Embedding Architecture)
2025-12-19 16:31:56 | INFO     | log:151 | [lifespan] Server starting - running warmup...
2025-12-19 16:31:56 | INFO     | log:151 | [warmup] Loading tables...
2025-12-19 16:31:56 | DEBUG    | log:153 | [get_tables] Getting tables...
2025-12-19 16:32:04 | DEBUG    | log:153 | [get_tables] Loaded existing tables
2025-12-19 16:32:04 | INFO     | log:151 | [warmup] Tables loaded: 15 docs, 251 examples
2025-12-19 16:32:04 | INFO     | log:151 | [warmup] Loading embedding model...
2025-12-19 16:32:04 | INFO     | log:151 | [get_embedding_model] Loading model on GPU (NVIDIA RTX A5000)...
2025-12-19 16:32:10 | INFO     | log:151 | [get_embedding_model] Model loaded on GPU (NVIDIA RTX A5000)
2025-12-19 16:32:10 | INFO     | log:151 | [warmup] Embedding model loaded on GPU (NVIDIA RTX A5000)
2025-12-19 16:32:10 | INFO     | log:151 | [warmup] Building embeddings cache...
2025-12-19 16:32:10 | INFO     | log:151 | [build_embeddings_cache] Building embeddings cache...
2025-12-19 16:32:11 | INFO     | log:151 | [build_embeddings_cache] Cache built in 0.82s: 251 examples, 15 docs on GPU (NVIDIA RTX A5000)
2025-12-19 16:32:11 | INFO     | log:151 | [warmup] Embeddings cache built
2025-12-19 16:32:11 | INFO     | log:151 | [warmup] Building corpus stats cache...
