2025-12-22 18:01:37 | INFO     | log:151 | [config] Loaded config | DEBUG_MODE=3
2025-12-22 18:01:40 | INFO     | log:151 | [main] FastAPI app initialized (Per-Example Embedding Architecture)
2025-12-22 18:01:40 | INFO     | log:151 | [lifespan] Server starting - running warmup...
2025-12-22 18:01:40 | INFO     | log:151 | [warmup] Loading tables...
2025-12-22 18:01:40 | DEBUG    | log:153 | [get_tables] Getting tables...
2025-12-22 18:01:47 | DEBUG    | log:153 | [get_tables] Loaded existing tables
2025-12-22 18:01:47 | INFO     | log:151 | [warmup] Tables loaded: 15 docs, 251 examples
2025-12-22 18:01:47 | INFO     | log:151 | [warmup] Loading embedding model...
2025-12-22 18:01:47 | INFO     | log:151 | [get_embedding_model] Loading model on GPU (NVIDIA RTX A5000)...
2025-12-22 18:01:52 | INFO     | log:151 | [get_embedding_model] Model loaded on GPU (NVIDIA RTX A5000)
2025-12-22 18:01:52 | INFO     | log:151 | [warmup] Embedding model loaded on GPU (NVIDIA RTX A5000)
2025-12-22 18:01:52 | INFO     | log:151 | [warmup] Building embeddings cache...
2025-12-22 18:01:52 | INFO     | log:151 | [build_embeddings_cache] Building embeddings cache...
2025-12-22 18:01:53 | INFO     | log:151 | [build_embeddings_cache] Cache built in 0.73s: 251 examples, 15 docs on GPU (NVIDIA RTX A5000)
2025-12-22 18:01:53 | INFO     | log:151 | [warmup] Embeddings cache built
2025-12-22 18:01:53 | INFO     | log:151 | [warmup] Building corpus stats cache...
2025-12-22 18:01:53 | INFO     | log:151 | [get_corpus_stats] Rebuilding corpus stats cache...
2025-12-22 18:01:53 | INFO     | log:151 | [warmup] Corpus stats cache built
2025-12-22 18:01:53 | INFO     | log:151 | [warmup] System ready in 12.30s | URLs: ['http://localhost:6804', 'http://192.168.3.7:6804']
