2025-12-26 13:54:17 | INFO     | log:151 | [lifespan] Server shutting down
2025-12-26 13:54:25 | INFO     | log:151 | [config] Loaded config | DEBUG_MODE=3
2025-12-26 13:54:27 | INFO     | log:151 | [main] FastAPI app initialized (Per-Example Embedding Architecture)
2025-12-26 13:54:28 | INFO     | log:151 | [lifespan] Server starting - running warmup...
2025-12-26 13:54:28 | INFO     | log:151 | [warmup] Loading tables...
2025-12-26 13:54:28 | DEBUG    | log:153 | [get_tables] Getting tables...
2025-12-26 13:54:35 | DEBUG    | log:153 | [get_tables] Loaded existing tables
2025-12-26 13:54:35 | INFO     | log:151 | [warmup] Tables loaded: 15 docs, 251 examples
2025-12-26 13:54:35 | INFO     | log:151 | [warmup] Loading embedding model...
2025-12-26 13:54:35 | INFO     | log:151 | [get_embedding_model] Loading model on GPU (NVIDIA RTX A5000)...
2025-12-26 13:54:41 | INFO     | log:151 | [get_embedding_model] Model loaded on GPU (NVIDIA RTX A5000)
2025-12-26 13:54:41 | INFO     | log:151 | [warmup] Embedding model loaded on GPU (NVIDIA RTX A5000)
2025-12-26 13:54:41 | INFO     | log:151 | [warmup] Building embeddings cache...
2025-12-26 13:54:41 | INFO     | log:151 | [build_embeddings_cache] Building embeddings cache...
2025-12-26 13:54:42 | INFO     | log:151 | [build_embeddings_cache] Cache built in 1.03s: 251 examples, 15 docs on GPU (NVIDIA RTX A5000)
2025-12-26 13:54:42 | INFO     | log:151 | [warmup] Embeddings cache built
2025-12-26 13:54:42 | INFO     | log:151 | [warmup] Building corpus stats cache...
2025-12-26 13:54:42 | INFO     | log:151 | [get_corpus_stats] Rebuilding corpus stats cache...
2025-12-26 13:54:42 | INFO     | log:151 | [warmup] Corpus stats cache built
2025-12-26 13:54:42 | INFO     | log:151 | [warmup] System ready in 14.15s | URLs: ['http://localhost:6804', 'http://192.168.3.7:6804']
