2025-12-29 16:31:22 | DEBUG    | log:153 | [index] Serving web UI
2025-12-29 16:31:23 | DEBUG    | log:153 | [list_documents] Fetching all documents...
2025-12-29 16:31:23 | DEBUG    | log:153 | [get_tables] Getting tables...
2025-12-29 16:31:23 | DEBUG    | log:153 | [get_tables] Returning cached tables
2025-12-29 16:31:23 | INFO     | log:151 | [list_documents] Found 15 documents
2025-12-29 16:34:10 | INFO     | log:151 | [search_single] Searching: 'cho tôi xem lịch sử giao dịch của tài khoản 200869...' (top_k=10)
2025-12-29 16:34:10 | DEBUG    | log:153 | [get_tables] Getting tables...
2025-12-29 16:34:10 | DEBUG    | log:153 | [get_tables] Returning cached tables
2025-12-29 16:34:10 | DEBUG    | log:153 | [normalize_query] 'cho tôi xem lịch sử giao dịch của tài kh...' -> 'Cho tôi xem lịch sử giao dịch của tài kh...'
2025-12-29 16:34:10 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [cho tôi xem lịch sử giao dịch của tài khoản 2008698951018] - formatted_query: [Cho tôi xem lịch sử giao dịch của tài khoản 2008698951018] - normalized_query: [Cho tôi xem lịch sử giao dịch của tài khoản 2008698951018]
2025-12-29 16:34:10 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.8559, max=14.6557
2025-12-29 16:34:10 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Cho tôi xem lịch sử giao dịch ...' | Doc: Tra cứu lịch sử giao | Boost: 0.25 | Matched: ['tài khoản']
2025-12-29 16:34:10 | DEBUG    | log:153 | [classify_query_intent] Classified: 'Cho tôi xem lịch sử giao dịch ...' -> Tra cứu lịch sử giao dịch theo (score=1)
2025-12-29 16:34:10 | INFO     | log:151 | [search_single] Found 10 results
2025-12-29 16:34:10 | DEBUG    | log:153 | [search_single] Top: Tra cứu lịch sử giao dịch theo số tài khoản... (score=0.8325, sem=0.8679, bm25=1.0000, boost=0.2500)
2025-12-29 16:35:01 | INFO     | log:151 | [search_single] Searching: 'tra cứu phỉ gỉao dịch chuyển khoản đến số tài khoả...' (top_k=10)
2025-12-29 16:35:01 | DEBUG    | log:153 | [get_tables] Getting tables...
2025-12-29 16:35:01 | DEBUG    | log:153 | [get_tables] Returning cached tables
2025-12-29 16:35:01 | DEBUG    | log:153 | [normalize_query] 'tra cứu phỉ gỉao dịch chuyển khoản đến s...' -> 'Tra cứu phỉ gỉao dịch chuyển khoản đến s...'
2025-12-29 16:35:01 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [tra cứu phỉ gỉao dịch chuyển khoản đến số tài khoản 2008698951018 của tôi?] - formatted_query: [Tra cứu phỉ gỉao dịch chuyển khoản đến số tài khoản 2008698951018 của tôi] - normalized_query: [Tra cứu phỉ gỉao dịch chuyển khoản đến số tài khoản 2008698951018 của tôi]
2025-12-29 16:35:01 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=1.3442, max=12.9055
2025-12-29 16:35:01 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Tra cứu phỉ gỉao dịch chuyển k...' | Doc: Tra cứu lịch sử giao | Boost: 0.25 | Matched: ['tài khoản']
2025-12-29 16:35:01 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Tra cứu phỉ gỉao dịch chuyển k...' | Doc: Tra cứu giao dịch ch | Boost: 0.25 | Matched: ['chuyển khoản']
2025-12-29 16:35:01 | DEBUG    | log:153 | [classify_query_intent] Ambiguous: 'Tra cứu phỉ gỉao dịch chuyển k...' | Scores: {'Tra cứu lịch sử giao dịch theo số tài khoản': 1, 'Tra cứu giao dịch chuyển tiền': 1}
2025-12-29 16:35:01 | INFO     | log:151 | [search_single] Found 10 results
2025-12-29 16:35:01 | DEBUG    | log:153 | [search_single] Top: Tra cứu giao dịch theo loại giao dịch... (score=0.8020, sem=0.8601, bm25=1.0000, boost=0.0000)
2025-12-29 16:35:40 | INFO     | log:151 | [search_single] Searching: 'tra cứu phỉ gỉao dịch chuyển khoản đến số tài khoả...' (top_k=10)
2025-12-29 16:35:40 | DEBUG    | log:153 | [get_tables] Getting tables...
2025-12-29 16:35:40 | DEBUG    | log:153 | [get_tables] Returning cached tables
2025-12-29 16:35:40 | DEBUG    | log:153 | [normalize_query] 'tra cứu phỉ gỉao dịch chuyển khoản đến s...' -> 'Tra cứu phỉ gỉao dịch chuyển khoản đến s...'
2025-12-29 16:35:40 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [tra cứu phỉ gỉao dịch chuyển khoản đến số tài khoản 2008698951018 của tôi ngày 20/09/2018] - formatted_query: [Tra cứu phỉ gỉao dịch chuyển khoản đến số tài khoản 2008698951018 của tôi ngày 20/09/2018] - normalized_query: [Tra cứu phỉ gỉao dịch chuyển khoản đến số tài khoản 2008698951018 của tôi ngày 20/09/2018]
2025-12-29 16:35:40 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=1.3589, max=12.9055
2025-12-29 16:35:40 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Tra cứu phỉ gỉao dịch chuyển k...' | Doc: Tra cứu lịch sử giao | Boost: 0.25 | Matched: ['tài khoản']
2025-12-29 16:35:40 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Tra cứu phỉ gỉao dịch chuyển k...' | Doc: Tra cứu lịch sử giao | Boost: 0.25 | Matched: ['ngày']
2025-12-29 16:35:40 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Tra cứu phỉ gỉao dịch chuyển k...' | Doc: Tra cứu giao dịch ch | Boost: 0.25 | Matched: ['chuyển khoản']
2025-12-29 16:35:40 | DEBUG    | log:153 | [classify_query_intent] Ambiguous: 'Tra cứu phỉ gỉao dịch chuyển k...' | Scores: {'Tra cứu lịch sử giao dịch theo số tài khoản': 1, 'Tra cứu lịch sử giao dịch theo khoảng thời gian': 1, 'Tra cứu giao dịch chuyển tiền': 1}
2025-12-29 16:35:40 | INFO     | log:151 | [search_single] Found 10 results
2025-12-29 16:35:40 | DEBUG    | log:153 | [search_single] Top: Tra cứu giao dịch theo loại giao dịch... (score=0.8013, sem=0.8590, bm25=1.0000, boost=0.0000)
