2025-12-30 16:23:16 | INFO     | log:151 | [search_batch_stream] Batch stream search from: query_1.xlsx
2025-12-30 16:23:16 | DEBUG    | log:153 | [get_tables] Getting tables...
2025-12-30 16:23:16 | DEBUG    | log:153 | [get_tables] Returning cached tables
2025-12-30 16:23:16 | DEBUG    | log:153 | [normalize_query] 'Check hộ mình lịch sử stk 0123456789...' -> 'Check hộ mình lịch sử stk 0123456789...'
2025-12-30 16:23:16 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Check hộ mình lịch sử stk 0123456789] - formatted_query: [Check hộ mình lịch sử stk 0123456789] - normalized_query: [Check hộ mình lịch sử stk 0123456789]
2025-12-30 16:23:16 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.0802, max=7.4489
2025-12-30 16:23:16 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Check hộ mình lịch sử stk 0123...' | Doc: Tra cứu lịch sử giao | Boost: 0.50 | Matched: ['tk', 'stk']
2025-12-30 16:23:16 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Check hộ mình lịch sử stk 0123...' | Doc: Tra cứu giao dịch ch | Boost: 0.25 | Matched: ['ck']
2025-12-30 16:23:16 | DEBUG    | log:153 | [classify_query_intent] Classified: 'Check hộ mình lịch sử stk 0123...' -> Tra cứu lịch sử giao dịch theo (score=2)
2025-12-30 16:23:16 | DEBUG    | log:153 | [normalize_query] 'lich su tk 0123456789...' -> 'Lich su tk 0123456789...'
2025-12-30 16:23:16 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [lich su tk 0123456789] - formatted_query: [Lich su tk 0123456789] - normalized_query: [Lich su tk 0123456789]
2025-12-30 16:23:16 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.0321, max=8.6502
2025-12-30 16:23:16 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Lich su tk 0123456789...' | Doc: Tra cứu lịch sử giao | Boost: 0.25 | Matched: ['tk']
2025-12-30 16:23:16 | DEBUG    | log:153 | [classify_query_intent] Classified: 'Lich su tk 0123456789...' -> Tra cứu lịch sử giao dịch theo (score=1)
2025-12-30 16:23:16 | DEBUG    | log:153 | [normalize_query] 'Xem biến động số dư của 0123456789...' -> 'Xem biến động số dư của 0123456789...'
2025-12-30 16:23:16 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Xem biến động số dư của 0123456789] - formatted_query: [Xem biến động số dư của 0123456789] - normalized_query: [Xem biến động số dư của 0123456789]
2025-12-30 16:23:16 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.1342, max=8.3664
2025-12-30 16:23:16 | DEBUG    | log:153 | [classify_query_intent] No keyword matches found in: 'Xem biến động số dư của 0123456789'
2025-12-30 16:23:16 | DEBUG    | log:153 | [normalize_query] 'Cho mình coi lịch sử gd 0123456789...' -> 'Cho mình coi lịch sử gd 0123456789...'
2025-12-30 16:23:16 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Cho mình coi lịch sử gd 0123456789] - formatted_query: [Cho mình coi lịch sử gd 0123456789] - normalized_query: [Cho mình coi lịch sử gd 0123456789]
2025-12-30 16:23:16 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.0641, max=5.2370
2025-12-30 16:23:16 | DEBUG    | log:153 | [classify_query_intent] No keyword matches found in: 'Cho mình coi lịch sử gd 0123456789'
2025-12-30 16:23:16 | DEBUG    | log:153 | [normalize_query] 'hien thi gd 0123456789...' -> 'Hien thi gd 0123456789...'
2025-12-30 16:23:16 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [hien thi gd 0123456789] - formatted_query: [Hien thi gd 0123456789] - normalized_query: [Hien thi gd 0123456789]
2025-12-30 16:23:16 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.0000, max=7.2089
2025-12-30 16:23:16 | DEBUG    | log:153 | [classify_query_intent] No keyword matches found in: 'Hien thi gd 0123456789'
2025-12-30 16:23:16 | DEBUG    | log:153 | [normalize_query] 'Truy vấn lịch sử giao dịch của 012345678...' -> 'Truy vấn lịch sử giao dịch của 012345678...'
2025-12-30 16:23:16 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Truy vấn lịch sử giao dịch của 0123456789] - formatted_query: [Truy vấn lịch sử giao dịch của 0123456789] - normalized_query: [Truy vấn lịch sử giao dịch của 0123456789]
