2025-12-30 17:00:51 | INFO     | log:151 | [search_batch_stream] Batch stream search from: Query_teamplate_30-12.xlsx
2025-12-30 17:00:51 | DEBUG    | log:153 | [get_tables] Getting tables...
2025-12-30 17:00:51 | DEBUG    | log:153 | [get_tables] Returning cached tables
2025-12-30 17:00:51 | DEBUG    | log:153 | [normalize_query] 'Chi tiết về tài khoản của tôi...' -> 'Chi tiết về tài khoản của tôi...'
2025-12-30 17:00:51 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Chi tiết về tài khoản của tôi] - formatted_query: [Chi tiết về tài khoản của tôi] - normalized_query: [Chi tiết về tài khoản của tôi]
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.3322, max=8.8007
2025-12-30 17:00:52 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Chi tiết về tài khoản của tôi...' | Doc: Tra cứu lịch sử giao | Boost: 0.25 | Matched: ['tài khoản']
2025-12-30 17:00:52 | DEBUG    | log:153 | [classify_query_intent] Classified: 'Chi tiết về tài khoản của tôi...' -> Tra cứu lịch sử giao dịch theo (score=1)
2025-12-30 17:00:52 | DEBUG    | log:153 | [normalize_query] 'Xem hộ tài khoản của tôi...' -> 'Xem hộ tài khoản của tôi...'
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Xem hộ tài khoản của tôi] - formatted_query: [Xem hộ tài khoản của tôi] - normalized_query: [Xem hộ tài khoản của tôi]
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.5203, max=4.3830
2025-12-30 17:00:52 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Xem hộ tài khoản của tôi...' | Doc: Tra cứu lịch sử giao | Boost: 0.25 | Matched: ['tài khoản']
2025-12-30 17:00:52 | DEBUG    | log:153 | [classify_query_intent] Classified: 'Xem hộ tài khoản của tôi...' -> Tra cứu lịch sử giao dịch theo (score=1)
2025-12-30 17:00:52 | DEBUG    | log:153 | [normalize_query] 'Thông tin trạng thái tài khoản của tôi...' -> 'Thông tin trạng thái tài khoản của tôi...'
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Thông tin trạng thái tài khoản của tôi] - formatted_query: [Thông tin trạng thái tài khoản của tôi] - normalized_query: [Thông tin trạng thái tài khoản của tôi]
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.3374, max=7.4736
2025-12-30 17:00:52 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Thông tin trạng thái tài khoản...' | Doc: Tra cứu lịch sử giao | Boost: 0.25 | Matched: ['tài khoản']
2025-12-30 17:00:52 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Thông tin trạng thái tài khoản...' | Doc: Tra cứu giao dịch th | Boost: 0.25 | Matched: ['trạng thái']
2025-12-30 17:00:52 | DEBUG    | log:153 | [classify_query_intent] Ambiguous: 'Thông tin trạng thái tài khoản...' | Scores: {'Tra cứu lịch sử giao dịch theo số tài khoản': 1, 'Tra cứu giao dịch theo trạng thái': 1}
2025-12-30 17:00:52 | DEBUG    | log:153 | [normalize_query] 'Cho xem trạng thái tài khoản của tôi...' -> 'Cho xem trạng thái tài khoản của tôi...'
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Cho xem trạng thái tài khoản của tôi] - formatted_query: [Cho xem trạng thái tài khoản của tôi] - normalized_query: [Cho xem trạng thái tài khoản của tôi]
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.5203, max=11.0873
2025-12-30 17:00:52 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Cho xem trạng thái tài khoản c...' | Doc: Tra cứu lịch sử giao | Boost: 0.25 | Matched: ['tài khoản']
2025-12-30 17:00:52 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Cho xem trạng thái tài khoản c...' | Doc: Tra cứu giao dịch th | Boost: 0.25 | Matched: ['trạng thái']
2025-12-30 17:00:52 | DEBUG    | log:153 | [classify_query_intent] Ambiguous: 'Cho xem trạng thái tài khoản c...' | Scores: {'Tra cứu lịch sử giao dịch theo số tài khoản': 1, 'Tra cứu giao dịch theo trạng thái': 1}
2025-12-30 17:00:52 | DEBUG    | log:153 | [normalize_query] 'Tôi muốn biết trạng thái tài khoản của t...' -> 'Tôi muốn biết trạng thái tài khoản của t...'
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Tôi muốn biết trạng thái tài khoản của tôi] - formatted_query: [Tôi muốn biết trạng thái tài khoản của tôi] - normalized_query: [Tôi muốn biết trạng thái tài khoản của tôi]
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.5203, max=9.7555
2025-12-30 17:00:52 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Tôi muốn biết trạng thái tài k...' | Doc: Tra cứu lịch sử giao | Boost: 0.25 | Matched: ['tài khoản']
2025-12-30 17:00:52 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Tôi muốn biết trạng thái tài k...' | Doc: Tra cứu giao dịch th | Boost: 0.25 | Matched: ['trạng thái']
2025-12-30 17:00:52 | DEBUG    | log:153 | [classify_query_intent] Ambiguous: 'Tôi muốn biết trạng thái tài k...' | Scores: {'Tra cứu lịch sử giao dịch theo số tài khoản': 1, 'Tra cứu giao dịch theo trạng thái': 1}
2025-12-30 17:00:52 | DEBUG    | log:153 | [normalize_query] 'Cho tôi biết trạng thái tài khoản của tô...' -> 'Cho tôi biết trạng thái tài khoản của tô...'
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Cho tôi biết trạng thái tài khoản của tôi] - formatted_query: [Cho tôi biết trạng thái tài khoản của tôi] - normalized_query: [Cho tôi biết trạng thái tài khoản của tôi]
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.5203, max=9.7555
2025-12-30 17:00:52 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Cho tôi biết trạng thái tài kh...' | Doc: Tra cứu lịch sử giao | Boost: 0.25 | Matched: ['tài khoản']
2025-12-30 17:00:52 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Cho tôi biết trạng thái tài kh...' | Doc: Tra cứu giao dịch th | Boost: 0.25 | Matched: ['trạng thái']
2025-12-30 17:00:52 | DEBUG    | log:153 | [classify_query_intent] Ambiguous: 'Cho tôi biết trạng thái tài kh...' | Scores: {'Tra cứu lịch sử giao dịch theo số tài khoản': 1, 'Tra cứu giao dịch theo trạng thái': 1}
2025-12-30 17:00:52 | DEBUG    | log:153 | [normalize_query] 'Tôi hỏi trạng thái tài khoản của tôi...' -> 'Tôi hỏi trạng thái tài khoản của tôi...'
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Tôi hỏi trạng thái tài khoản của tôi] - formatted_query: [Tôi hỏi trạng thái tài khoản của tôi] - normalized_query: [Tôi hỏi trạng thái tài khoản của tôi]
2025-12-30 17:00:52 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.2827, max=8.8710
2025-12-30 17:00:52 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Tôi hỏi trạng thái tài khoản c...' | Doc: Tra cứu lịch sử giao | Boost: 0.25 | Matched: ['tài khoản']
