2025-12-31 11:00:08 | INFO     | log:151 | [search_batch_stream] Batch stream search from: quick-test.xlsx
2025-12-31 11:00:08 | DEBUG    | log:153 | [get_tables] Getting tables...
2025-12-31 11:00:08 | DEBUG    | log:153 | [get_tables] Returning cached tables
2025-12-31 11:00:08 | DEBUG    | log:153 | [normalize_query] 'Cho tôi xem danh sách các giao dịch đang...' -> 'Cho tôi xem danh sách các giao dịch đang...'
2025-12-31 11:00:08 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Cho tôi xem danh sách các giao dịch đang chờ duyệt] - formatted_query: [Cho tôi xem danh sách các giao dịch đang chờ duyệt] - normalized_query: [Cho tôi xem danh sách các giao dịch đang chờ duyệt]
2025-12-31 11:00:08 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=12.8074, max=20.3508
2025-12-31 11:00:08 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Cho tôi xem danh sách các giao...' | Doc: getTransactionList | | Boost: 0.50 | Matched: ['chờ duyệt', 'đang chờ']
2025-12-31 11:00:08 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Cho tôi xem danh sách các giao...' | Doc: getTransactionList | | Boost: 0.25 | Matched: ['chờ duyệt']
2025-12-31 11:00:08 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Cho tôi xem danh sách các giao...' | Doc: getTransactionList | | Boost: 0.25 | Matched: ['chờ duyệt']
2025-12-31 11:00:08 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Cho tôi xem danh sách các giao...' | Doc: getTransactionList | | Boost: 0.25 | Matched: ['chờ duyệt']
2025-12-31 11:00:08 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Cho tôi xem danh sách các giao...' | Doc: getTransactionList | | Boost: 0.25 | Matched: ['chờ duyệt']
2025-12-31 11:00:08 | DEBUG    | log:153 | [classify_query_intent] Classified: 'Cho tôi xem danh sách các giao...' -> getTransactionList | Tra cứu g (score=2)
2025-12-31 11:00:08 | DEBUG    | log:153 | [normalize_query] 'Liệt kê toàn bộ giao dịch đang pending...' -> 'Liệt kê toàn bộ giao dịch đang pending...'
2025-12-31 11:00:08 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [Liệt kê toàn bộ giao dịch đang pending] - formatted_query: [Liệt kê toàn bộ giao dịch đang pending] - normalized_query: [Liệt kê toàn bộ giao dịch đang pending]
2025-12-31 11:00:08 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=16.7761, max=26.4459
2025-12-31 11:00:08 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Liệt kê toàn bộ giao dịch đang...' | Doc: getTransactionList | | Boost: 0.50 | Matched: ['pending', 'toàn bộ']
