2025-12-31 15:02:10 | INFO     | log:151 | [search_batch_stream] Batch stream search from: query_getTransactionList_3.xlsx
2025-12-31 15:02:10 | DEBUG    | log:153 | [get_tables] Getting tables...
2025-12-31 15:02:10 | DEBUG    | log:153 | [get_tables] Returning cached tables
2025-12-31 15:02:10 | DEBUG    | log:153 | [normalize_query] 'stk 0123456789 có lệnh nào chưa duyệt ko...' -> 'Stk 0123456789 có lệnh nào chưa duyệt ko...'
2025-12-31 15:02:10 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [stk 0123456789 có lệnh nào chưa duyệt ko?] - formatted_query: [Stk 0123456789 có lệnh nào chưa duyệt ko] - normalized_query: [Stk 0123456789 có lệnh nào chưa duyệt ko]
2025-12-31 15:02:10 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.1421, max=38.9901
2025-12-31 15:02:10 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Stk 0123456789 có lệnh nào chư...' | Doc: Tra cứu lịch sử giao | Boost: 0.50 | Matched: ['tk', 'stk']
2025-12-31 15:02:10 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Stk 0123456789 có lệnh nào chư...' | Doc: getTransactionList | | Boost: 0.25 | Matched: ['stk']
2025-12-31 15:02:10 | DEBUG    | log:153 | [classify_query_intent] Classified: 'Stk 0123456789 có lệnh nào chư...' -> Tra cứu lịch sử giao dịch theo (score=2)
2025-12-31 15:02:10 | DEBUG    | log:153 | [normalize_query] 'xem ds pending của số tài khoản 01234567...' -> 'Xem ds pending của số tài khoản 01234567...'
2025-12-31 15:02:10 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [xem ds pending của số tài khoản 0123456789] - formatted_query: [Xem ds pending của số tài khoản 0123456789] - normalized_query: [Xem ds pending của số tài khoản 0123456789]
2025-12-31 15:02:10 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.4555, max=25.9985
2025-12-31 15:02:10 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Xem ds pending của số tài khoả...' | Doc: Tra cứu lịch sử giao | Boost: 0.25 | Matched: ['tài khoản']
2025-12-31 15:02:10 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Xem ds pending của số tài khoả...' | Doc: getTransactionList | | Boost: 0.25 | Matched: ['pending']
2025-12-31 15:02:10 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Xem ds pending của số tài khoả...' | Doc: getTransactionList | | Boost: 0.75 | Matched: ['pending', 'tài khoản', 'số tài khoản']
2025-12-31 15:02:10 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Xem ds pending của số tài khoả...' | Doc: getTransactionList | | Boost: 0.25 | Matched: ['pending']
2025-12-31 15:02:10 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Xem ds pending của số tài khoả...' | Doc: getTransactionList | | Boost: 0.25 | Matched: ['pending']
2025-12-31 15:02:10 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Xem ds pending của số tài khoả...' | Doc: getTransactionList | | Boost: 0.25 | Matched: ['pending']
2025-12-31 15:02:10 | DEBUG    | log:153 | [classify_query_intent] Classified: 'Xem ds pending của số tài khoả...' -> getTransactionList | Tra cứu g (score=3)
2025-12-31 15:02:10 | DEBUG    | log:153 | [normalize_query] 'tk 0123456789 đang có lệnh treo đúng ko...' -> 'Tk 0123456789 đang có lệnh treo đúng ko...'
2025-12-31 15:02:10 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [tk 0123456789 đang có lệnh treo đúng ko] - formatted_query: [Tk 0123456789 đang có lệnh treo đúng ko] - normalized_query: [Tk 0123456789 đang có lệnh treo đúng ko]
2025-12-31 15:02:10 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.0000, max=18.1769
2025-12-31 15:02:10 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Tk 0123456789 đang có lệnh tre...' | Doc: Tra cứu lịch sử giao | Boost: 0.25 | Matched: ['tk']
2025-12-31 15:02:10 | DEBUG    | log:153 | [classify_query_intent] Classified: 'Tk 0123456789 đang có lệnh tre...' -> Tra cứu lịch sử giao dịch theo (score=1)
2025-12-31 15:02:10 | DEBUG    | log:153 | [normalize_query] 'liet ke giao dich chua duoc duyet stk 01...' -> 'Liet ke giao dich chua duoc duyet stk 01...'
2025-12-31 15:02:10 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [liet ke giao dich chua duoc duyet stk 0123456789] - formatted_query: [Liet ke giao dich chua duoc duyet stk 0123456789] - normalized_query: [Liet ke giao dich chua duoc duyet stk 0123456789]
2025-12-31 15:02:11 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.2851, max=27.4783
2025-12-31 15:02:11 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Liet ke giao dich chua duoc du...' | Doc: Tra cứu lịch sử giao | Boost: 0.50 | Matched: ['tk', 'stk']
2025-12-31 15:02:11 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Liet ke giao dich chua duoc du...' | Doc: getTransactionList | | Boost: 0.25 | Matched: ['stk']
2025-12-31 15:02:11 | DEBUG    | log:153 | [classify_query_intent] Classified: 'Liet ke giao dich chua duoc du...' -> Tra cứu lịch sử giao dịch theo (score=2)
2025-12-31 15:02:11 | DEBUG    | log:153 | [normalize_query] 'tìm các gd chưa xong của account 0123456...' -> 'Tìm các gd chưa xong của account 0123456...'
2025-12-31 15:02:11 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [tìm các gd chưa xong của account 0123456789] - formatted_query: [Tìm các gd chưa xong của account 0123456789] - normalized_query: [Tìm các gd chưa xong của account 0123456789]
2025-12-31 15:02:11 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.0000, max=8.7953
2025-12-31 15:02:11 | DEBUG    | log:153 | [classify_query_intent] No keyword matches found in: 'Tìm các gd chưa xong của account 0123456789'
2025-12-31 15:02:11 | DEBUG    | log:153 | [normalize_query] 'số tài khoản 0123456789 có gd nào dang c...' -> 'Số tài khoản 0123456789 có gd nào dang c...'
2025-12-31 15:02:11 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [số tài khoản 0123456789 có gd nào dang cho ko] - formatted_query: [Số tài khoản 0123456789 có gd nào dang cho ko] - normalized_query: [Số tài khoản 0123456789 có gd nào dang cho ko]
2025-12-31 15:02:11 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.3094, max=34.3566
2025-12-31 15:02:11 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Số tài khoản 0123456789 có gd ...' | Doc: Tra cứu lịch sử giao | Boost: 0.25 | Matched: ['tài khoản']
2025-12-31 15:02:11 | DEBUG    | log:153 | [get_keyword_boost] Query: 'Số tài khoản 0123456789 có gd ...' | Doc: getTransactionList | | Boost: 0.50 | Matched: ['tài khoản', 'số tài khoản']
2025-12-31 15:02:11 | DEBUG    | log:153 | [classify_query_intent] Classified: 'Số tài khoản 0123456789 có gd ...' -> getTransactionList | Tra cứu g (score=2)
2025-12-31 15:02:11 | DEBUG    | log:153 | [normalize_query] 'liệt kê các gd pending cho số tk 0123456...' -> 'Liệt kê các gd pending cho số tk 0123456...'
2025-12-31 15:02:11 | DEBUG    | log:153 | [perform_hybrid_search] query_text: [liệt kê các gd pending cho số tk 0123456789] - formatted_query: [Liệt kê các gd pending cho số tk 0123456789] - normalized_query: [Liệt kê các gd pending cho số tk 0123456789]
2025-12-31 15:02:11 | DEBUG    | log:153 | [perform_hybrid_search] BM25 raw scores: min=0.0524, max=21.2273
